,all_in_one,poem_average,global_verse_avg,poem_verse_avg
all_in_one,1.0,0.8857288711885187,0.692251622845355,0.6780702693120462
poem_average,0.8857288711885187,1.0,0.7398028056923784,0.7488073609158129
global_verse_avg,0.6922516228453551,0.7398028056923783,1.0,0.9863294352355406
poem_verse_avg,0.6780702693120461,0.7488073609158129,0.9863294352355406,1.0
