umap_n_neighbors,umap_min_dist,hdbscan_min_cluster_size,n_clusters,n_outliers,ari,nmi
10,0.0,3,10,16,0.7406953267866769,0.7888005351376491
10,0.0,5,4,0,0.15846532467224253,0.478305493671635
10,0.0,7,4,0,0.15846532467224253,0.478305493671635
10,0.0,10,4,0,0.15846532467224253,0.478305493671635
10,0.05,3,12,22,0.7375849707955145,0.791797448740703
10,0.05,5,9,18,0.7520618938013256,0.8061140551511577
10,0.05,7,9,18,0.7520618938013256,0.8061140551511577
10,0.05,10,5,9,0.46870647642684904,0.6780899842100472
10,0.1,3,12,37,0.7209986796169429,0.7797505797075261
10,0.1,5,5,7,0.15190996535063653,0.47895252422858153
10,0.1,7,4,2,0.1622055012929395,0.4912583695934102
10,0.1,10,4,2,0.1622055012929395,0.4912583695934102
10,0.2,3,5,22,0.17194921200842345,0.47042474363590175
10,0.2,5,5,22,0.17194921200842345,0.47042474363590175
10,0.2,7,4,17,0.1821668729444612,0.48597107221468144
10,0.2,10,4,17,0.1821668729444612,0.48597107221468144
15,0.0,3,12,28,1.0,1.0
15,0.0,5,12,28,1.0,1.0
15,0.0,7,2,0,0.061203024472479106,0.2511215862628464
15,0.0,10,2,0,0.061203024472479106,0.2511215862628464
15,0.05,3,13,39,0.8293370969665183,0.8763835824855439
15,0.05,5,12,35,0.861280590666976,0.8933877239639647
15,0.05,7,10,45,0.8173702543744417,0.8690101579659715
15,0.05,10,9,40,0.8231685886835244,0.8686599866530197
15,0.1,3,14,51,0.729276677044331,0.814987722047578
15,0.1,5,10,59,0.7127581337843285,0.8126340540354104
15,0.1,7,9,57,0.7162043154824901,0.8093797358894043
15,0.1,10,8,66,0.6707229154022326,0.7908420096343506
15,0.2,3,14,79,0.3887358009619538,0.6997042254158604
15,0.2,5,11,81,0.3803984376082657,0.6890806642732596
15,0.2,7,9,77,0.3831466475731029,0.6760419188268095
15,0.2,10,9,77,0.3831466475731029,0.6760419188268095
20,0.0,3,12,29,0.8231520740552986,0.8242966488615999
20,0.0,5,11,32,0.8146843627710668,0.8200940802037304
20,0.0,7,10,37,0.8163273556851738,0.8245448627585781
20,0.0,10,9,45,0.7924592919251259,0.8211495756730067
20,0.05,3,12,44,0.7342630713482013,0.7838415511995843
20,0.05,5,11,47,0.7288429823469241,0.7870899896215002
20,0.05,7,9,52,0.7222334824266398,0.7854058461633331
20,0.05,10,4,15,0.33249365087367505,0.6041218136547579
20,0.1,3,3,8,0.2832371170909452,0.5184436536353276
20,0.1,5,9,51,0.5708560800957698,0.7354538490722431
20,0.1,7,3,8,0.2832371170909452,0.5184436536353276
20,0.1,10,3,8,0.2832371170909452,0.5184436536353276
20,0.2,3,12,46,0.5459525819361358,0.6998645068776249
20,0.2,5,9,56,0.5186451139860572,0.6813347493666614
20,0.2,7,7,67,0.503119935270803,0.6784700716583856
20,0.2,10,6,75,0.4755812424312794,0.6598457445149003
25,0.0,3,16,54,0.4988703844578237,0.7342167509703971
25,0.0,5,12,56,0.49119922516990633,0.7214784339269429
25,0.0,7,11,51,0.5330910742199525,0.7434276892812367
25,0.0,10,5,24,0.20399350671706235,0.5810635854802287
25,0.05,3,17,67,0.4283990009114615,0.724038816551449
25,0.05,5,13,56,0.46708395533519165,0.7267775100191513
25,0.05,7,10,55,0.472033564567373,0.7185882525520376
25,0.05,10,5,36,0.1892384036769198,0.5680075929007308
25,0.1,3,14,56,0.52729756568845,0.6910542184190359
25,0.1,5,11,56,0.5249777952564026,0.6743490402106155
25,0.1,7,8,62,0.5152675710425928,0.6603598878945522
25,0.1,10,5,59,0.4732535576997978,0.601252790853752
25,0.2,3,12,70,0.450916619649921,0.626821832813423
25,0.2,5,10,70,0.45242581143954913,0.624851533771579
25,0.2,7,6,65,0.4569562909175781,0.6073074683530436
25,0.2,10,5,57,0.4418126141171571,0.5801355769521791
