poet_name,poem_count,total_words,total_verses,avg_words_per_poem,avg_verses_per_poem
جحيش الهمداني,3,81,20,27.0,6.666666666666667
عبد المسيح بن عسلة,3,182,40,60.666666666666664,13.333333333333334
الخنساء بنت التيجان,3,116,24,38.666666666666664,8.0
لقيط بن يعمر الإيادي,3,682,130,227.33333333333334,43.333333333333336
أبو الذيال اليهودي,2,196,42,98.0,21.0
يزيد ذو القفا,2,30,6,15.0,3.0
يزيد الشني,2,210,46,105.0,23.0
الحارث بن الحصين,2,45,8,22.5,4.0
هبيرة المري,2,59,14,29.5,7.0
الدهنا بنت مسحل,2,40,10,20.0,5.0
الهذيل الأكبر التغلبي,2,65,12,32.5,6.0
الفارعة بنت معاوية,2,100,22,50.0,11.0
الكلحبة العرني,2,113,24,56.5,12.0
الراعي الهمداني,2,35,8,17.5,4.0
المثلم المري,2,95,20,47.5,10.0
الهبل بن عامر,2,49,10,24.5,5.0
الأسفع الأرحبي,2,191,38,95.5,19.0
أبو الفضل الكناني,2,417,78,208.5,39.0
ابن أم حزنة,2,283,60,141.5,30.0
الحارث المذحجي,2,184,38,92.0,19.0
وداك المازني,2,77,16,38.5,8.0
أعصر بن سعد,2,28,6,14.0,3.0
ابو دُاود الإيادي,2,497,110,248.5,55.0
البُرجُمي,2,233,50,116.5,25.0
الجراح الهمداني,2,49,10,24.5,5.0
الأشتر الحمامي,2,23,6,11.5,3.0
عبد يغوث الحارثي,2,223,44,111.5,22.0
معقر بن حمار البارقي,2,493,108,246.5,54.0
جحدر الوائلي,2,59,12,29.5,6.0
الحارث بن صريم الوادعي,2,133,26,66.5,13.0
هزيلة الجديسية,2,125,24,62.5,12.0
المعان بن روق,2,66,14,33.0,7.0
المثلم بن قرط البلوي,2,82,16,41.0,8.0
بكر الجرهمي,2,46,10,23.0,5.0
جبار الفزاري,2,41,8,20.5,4.0
آمنة بنت وهب,2,94,20,47.0,10.0
بشر بن عمرو,2,201,42,100.5,21.0
الهيبان الفهمي,2,38,8,19.0,4.0
الهيفاء بنت صبيح القضاعية,2,83,16,41.5,8.0
هند بنت معبد,2,73,14,36.5,7.0
جبلة بن الحارث,2,232,46,116.0,23.0
هند السدوسية,2,73,16,36.5,8.0
الحارث الحضرمي,1,305,58,305.0,58.0
البسوس بنت منقذ التميمية,1,80,14,80.0,14.0
الحارث الجرمي,1,112,22,112.0,22.0
الجيداء بنت زاهر الزبيدية,1,73,14,73.0,14.0
الجوزاء بنت عروة البصرية,1,82,18,82.0,18.0
الأشعث الجاشي,1,30,6,30.0,6.0
